case,pressure_Pa,step,time_s,T_sim_K,P_sim_Pa,mean_speed_sim,collisions_total,nu_meas,mfp_meas,n_theory,nu_theory,mfp_theory,mean_speed_theory,N_real,weight
p000_1.0e-06Pa,1.00E-06,0,2.00E-05,294.2956369,1.86E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,10,0.00022,294.2956369,2.01E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,20,0.00042,294.2956369,2.01E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,30,0.00062,294.2956369,2.01E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,40,0.00082,294.2956369,2.01E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,50,0.00102,294.2956369,2.01E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,60,0.00122,294.2956369,2.01E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,70,0.00142,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,80,0.00162,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,90,0.00182,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,100,0.00202,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,110,0.00222,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,120,0.00242,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,130,0.00262,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,140,0.00282,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
